"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"104","24725.3","4057.7","0","3558","32544.4","14789.9","1829294","92852512","108377489408"
"104.36","24725.3","4057.7","0","3558","32544.8","14790.8","1829294","92852512","108377489408"
"104.72","24734","4057.7","0","3558","32383.7","14788.9","1829308","92854816","108391526400"
"105.08","24740.3","4057.7","0","3558","32389.6","14791.6","1829393","92856803","108395065344"
"105.44","24743.7","4057.7","0","3558","32394.9","14791.5","1829393","92856803","108399259648"
"105.82","24892","4057.7","0","3558","32537.9","14792.3","1829649","92908386","108691234816"
"106.17","24967.4","4057.7","0","3548","32537.9","14797","1830024","92987174","108997197824"
"106.54","24960.7","4057.7","0","3537","32537.9","14796.7","1830360","93066760","109332570112"
"106.91","24958.6","4057.7","0","3537","32537.9","14794.9","1830722","93149144","109655621632"
"107.3","24958.3","4057.7","0","3537","32536.7","14793.7","1831009","93201235","109827113984"
"107.66","24961.3","4057.7","0","3537","32537.9","14794.4","1831317","93267311","110135747584"
"108","24990.4","4057.7","0","3537","32537.9","14796.8","1831656","93342011","110455849984"
"108.38","24988.8","4057.7","0","3537","32536.9","14795.9","1831999","93420817","110770226176"
"108.74","24969.2","4057.7","0","3537","32537.9","14814.3","1832336","93490450","111055805952"
"109.1","24990.8","4057.7","0","3537","32543.4","14811","1832605","93537430","111183115776"
"109.44","24993.1","4057.7","0","3537","32536.9","14792.2","1832922","93589193","111454475776"
"109.8","24998","4057.7","0","3537","32537.3","14783.8","1833282","93668493","111811794432"
"110.16","24996.5","4057.7","0","3537","32537.9","14785.1","1833676","93759069","112154482176"
"110.5","24990.3","4057.7","0","3537","32538.1","14788","1834003","93833269","112461571584"
"110.85","24987.3","4057.7","0","3537","32509.5","14786.4","1834357","93874615","112564011520"
"111.2","24987.4","4057.7","0","3537","32509.7","14784.8","1834370","93874659","112602833408"
"111.55","25026.7","4057.7","0","3537","32539.1","14782.4","1834652","93909851","112712360448"
